vano,mes,hom_doloso,lesao_corp_morte,latrocinio,hom_por_interv_policial,tentat_hom,lesao_corp_dolosa,estupro,hom_culposo,lesao_corp_culposa,roubo_comercio,roubo_residencia,roubo_veiculo,roubo_carga,roubo_transeunte,roubo_em_coletivo,roubo_banco,roubo_cx_eletronico,roubo_celular,roubo_conducao_saque,roubo_apos_saque,roubo_bicicleta,outros_roubos,total_roubos,furto_veiculos,furto_transeunte,furto_coletivo,furto_celular,furto_bicicleta,outros_furtos,total_furtos,sequestro,extorsao,sequestro_relampago,estelionato,apreensao_drogas,posse_drogas,trafico_drogas,apreensao_drogas_sem_autor,recuperacao_veiculos,apf,aaapai,cmp,cmba,ameaca,pessoas_desaparecidas,encontro_cadaver,encontro_ossada,pol_militares_mortos_serv,pol_civis_mortos_serv,indicador_letalidade,indicador_roubo_rua,indicador_roubo_veic,registro_ocorrencias,fase
1992,3,767,,12,,181,3732,,,,559,250,1825,172,1069,426,27,,,,,,82,4410,2241,939,,,,3983,7163,,,,,179,,,,951,,,,,,,72,,,,779,1495,1825,,3
1992,4,648,,29,,172,3293,,,,544,268,2090,182,1050,438,13,,,,,,119,4704,2199,875,,,,3841,6915,,,,,138,,,,969,,,,,,,66,,,,677,1488,2090,,3
1992,5,639,,28,,196,3042,,,,523,276,2194,143,940,439,16,,,,,,126,4657,2422,849,,,,3789,7060,,,,,149,,,,1042,,,,,,,56,,,,667,1379,2194,,3
1992,6,583,,26,,145,3013,,,,444,237,2220,171,901,417,10,,,,,,93,4493,2340,819,,,,3594,6753,,,,,158,,,,933,,,,,,,61,,,,609,1318,2220,,3
1992,7,541,,36,,130,2881,,,,412,214,2167,151,810,384,19,,,,,,107,4264,2415,787,,,,3672,6874,,,,,188,,,,951,,,,,,,67,,,,577,1194,2167,,3
1992,8,616,,27,,128,3034,,,,375,249,1959,134,850,397,15,,,,,,114,4093,2288,818,,,,3686,6792,,,,,186,,,,900,,,,,,,53,,,,643,1247,1959,,3
1992,9,560,,19,,135,2897,,,,340,255,2165,168,808,370,13,,,,,,112,4231,2315,839,,,,3487,6641,,,,,191,,,,940,,,,,,,63,,,,579,1178,2165,,3
1992,10,638,,24,,160,3337,,,,361,258,2322,135,827,406,25,,,,,,121,4455,2452,875,,,,3593,6920,,,,,162,,,,934,,,,,,,66,,,,662,1233,2322,,3
1992,11,658,,19,,149,3190,,,,365,247,2050,122,807,377,26,,,,,,107,4101,2355,764,,,,3586,6705,,,,,175,,,,910,,,,,,,69,,,,677,1184,2050,,3
1992,12,677,,22,,154,3502,,,,351,255,1832,186,823,357,23,,,,,,91,3918,1999,931,,,,3694,6624,,,,,174,,,,815,,,,,,,96,,,,699,1180,1832,,3
1993,1,597,,13,,139,3411,,,,299,233,2048,133,688,410,20,,,,,,104,3935,2341,761,,,,3791,6893,,,,,175,,,,855,,,,,,,85,,,,610,1098,2048,,3
1993,2,651,,17,,171,3449,,,,279,220,1897,135,752,348,20,,,,,,111,3762,2127,671,,,,3461,6259,,,,,160,,,,731,,,,,,,85,,,,668,1100,1897,,3
1993,3,755,,18,,169,3434,,,,337,218,2289,146,735,450,13,,,,,,161,4349,2458,636,,,,3809,6903,,,,,164,,,,869,,,,,,,76,,,,773,1185,2289,,3
1993,4,721,,23,,156,3246,,,,294,216,1994,139,829,395,25,,,,,,142,4034,2088,561,,,,3618,6267,,,,,139,,,,947,,,,,,,61,,,,744,1224,1994,,3
1993,5,665,,24,,152,3251,,,,350,193,2008,117,755,447,17,,,,,,133,4020,2287,517,,,,3604,6408,,,,,160,,,,956,,,,,,,55,,,,689,1202,2008,,3
1993,6,624,,24,,127,2466,,,,310,214,1988,114,749,391,17,,,,,,127,3910,2199,569,,,,3389,6157,,,,,138,,,,992,,,,,,,60,,,,648,1140,1988,,3
1993,7,657,,20,,142,3016,,,,290,199,2029,138,818,355,14,,,,,,118,3961,2272,662,,,,3480,6414,,,,,156,,,,1018,,,,,,,45,,,,677,1173,2029,,3
1993,8,617,,22,,136,2888,,,,247,205,2097,143,899,351,15,,,,,,124,4081,2273,660,,,,3475,6408,,,,,108,,,,952,,,,,,,59,,,,639,1250,2097,,3
1993,9,572,,19,,122,2566,,,,297,217,2058,143,787,362,14,,,,,,98,3976,2354,580,,,,3349,6283,,,,,126,,,,1007,,,,,,,47,,,,591,1149,2058,,3
1993,10,634,,29,,159,3223,,,,282,249,2228,142,903,412,28,,,,,,119,4363,2393,601,,,,3518,6512,,,,,154,,,,1088,,,,,,,52,,,,663,1315,2228,,3
1993,11,609,,31,,139,3198,,,,328,220,2181,166,958,423,25,,,,,,127,4428,2173,612,,,,3390,6175,,,,,134,,,,1139,,,,,,,71,,,,640,1381,2181,,3
1993,12,618,,25,,129,3485,,,,326,221,1973,185,907,378,17,,,,,,123,4130,1932,658,,,,3399,5989,,,,,135,,,,1065,,,,,,,96,,,,643,1285,1973,,3
1994,1,671,,19,,159,3120,,,,304,216,2010,94,912,352,18,,,,,,136,4042,2286,538,,,,3407,6231,,,,,133,,,,1055,,,,,,,56,,,,690,1264,2010,,3
1994,2,704,,20,,129,3407,,,,316,184,2033,96,842,371,18,,,,,,114,3974,1862,605,,,,3021,5488,,,,,121,,,,1111,,,,,,,89,,,,724,1213,2033,,3
1994,3,740,,22,,132,2909,,,,358,249,2725,101,1041,449,26,,,,,,166,5115,2630,629,,,,3242,6501,,,,,130,,,,1303,,,,,,,64,,,,762,1490,2725,,3
1994,4,737,,20,,137,2752,,,,377,200,2497,112,980,448,20,,,,,,170,4804,2394,521,,,,3122,6037,,,,,127,,,,1218,,,,,,,71,,,,757,1428,2497,,3
1994,5,621,,24,,122,2839,,,,371,225,2589,139,981,481,22,,,,,,180,4988,2548,488,,,,3221,6257,,,,,169,,,,1410,,,,,,,66,,,,645,1462,2589,,3
1994,6,682,,16,,160,2549,,,,324,198,2560,112,977,356,10,,,,,,126,4663,2409,502,,,,2960,5871,,,,,152,,,,1450,,,,,,,66,,,,698,1333,2560,,3
1994,7,681,,24,,137,2731,,,,279,179,2360,140,912,374,17,,,,,,118,4379,2497,521,,,,2925,5943,,,,,168,,,,1456,,,,,,,73,,,,705,1286,2360,,3
1994,8,610,,18,,134,2350,,,,914,196,2196,108,1174,426,19,,,,,,170,5203,2281,1013,,,,3510,6804,,,,,166,,,,1312,,,,,,,71,,,,628,1600,2196,,3
1994,9,694,,12,,138,2887,,,,278,157,2170,92,849,427,36,,,,,,127,4136,1841,549,,,,2710,5100,,,,,179,,,,1369,,,,,,,80,,,,706,1276,2170,,3
1994,10,761,,8,,177,3122,,,,302,144,2361,102,897,331,44,,,,,,111,4292,2068,475,,,,2719,5262,,,,,152,,,,1483,,,,,,,83,,,,769,1228,2361,,3
1994,11,681,,19,,145,3481,,,,287,160,1957,101,1043,338,38,,,,,,127,4051,1736,505,,,,2794,5035,,,,,190,,,,1383,,,,,,,96,,,,700,1381,1957,,3
1994,12,826,,21,,196,3550,,,,293,165,2012,189,1045,406,42,,,,,,159,4311,1679,571,,,,2712,4962,,,,,143,,,,1480,,,,,,,98,,,,847,1451,2012,,3
1995,1,831,,17,,166,3626,,,,323,174,2060,188,1056,377,38,,,,,,134,4350,1924,520,,,,2941,5385,,,,,147,,,,1435,,,,,,,98,,,,848,1433,2060,,3
1995,2,814,,16,,179,3286,,,,294,144,1876,118,981,350,32,,,,,,152,3947,1737,465,,,,2519,4721,,,,,194,,,,1293,,,,,,,78,,,,830,1331,1876,,3
1995,3,756,,17,,168,3258,,,,352,159,2271,160,976,413,26,,,,,,190,4547,2135,457,,,,2889,5481,,,,,181,,,,1491,,,,,,,69,,,,773,1389,2271,,3
1995,4,788,,20,,170,3028,,,,315,150,2293,86,1033,426,37,,,,,,176,4516,1842,440,,,,2556,4838,,,,,230,,,,1496,,,,,,,93,,,,808,1459,2293,,3
1995,5,784,,19,,149,2864,,,,322,158,2178,101,1021,415,26,,,,,,169,4390,1843,441,,,,2815,5099,,,,,192,,,,1615,,,,,,,89,,,,803,1436,2178,,3
1995,6,673,,20,,141,2786,,,,298,132,2061,94,883,442,31,,,,,,174,4115,1951,463,,,,2606,5020,,,,,246,,,,1580,,,,,,,97,,,,693,1325,2061,,3
1995,7,702,,12,,190,3266,,,,343,157,2010,74,904,416,43,,,,,,159,4106,1927,514,,,,2614,5055,,,,,326,,,,1557,,,,,,,101,,,,714,1320,2010,,3
1995,8,664,,12,,187,3256,,,,367,124,2007,68,963,445,49,,,,,,182,4205,1817,622,,,,2697,5136,,,,,446,,,,1626,,,,,,,116,,,,676,1408,2007,,3
1995,9,623,,19,,165,3178,,,,299,97,1906,62,936,498,29,,,,,,154,3981,1736,560,,,,2523,4819,,,,,355,,,,1495,,,,,,,70,,,,642,1434,1906,,3
1995,10,565,,18,,160,3207,,,,361,122,1806,59,867,486,37,,,,,,147,3885,1819,622,,,,2512,4953,,,,,395,,,,1459,,,,,,,108,,,,583,1353,1806,,3
1995,11,603,,17,,129,3180,,,,288,130,1699,98,871,456,54,,,,,,149,3745,1622,595,,,,2474,4691,,,,,418,,,,1342,,,,,,,110,,,,620,1327,1699,,3
1995,12,635,,13,,140,3534,,,,324,78,1509,90,890,402,38,,,,,,153,3484,1575,715,,,,2498,4788,,,,,378,,,,1233,,,,,,,104,,,,648,1292,1509,,3
1996,1,621,,10,,173,3680,,,,243,96,1569,196,986,413,26,,,,,,194,3723,1731,622,,,,2773,5126,,,,,416,,,,1015,,,,,,,156,,,,631,1399,1569,,3
1996,2,601,,17,,146,3389,,,,274,67,1555,216,1002,436,31,,,,,,162,3743,1526,787,,,,2538,4851,,,,,362,,,,901,,,,,,,71,,,,618,1438,1555,,3
1996,3,706,,14,,200,3428,,,,315,84,1890,265,994,480,30,,,,,,243,4301,1829,799,,,,2623,5251,,,,,474,,,,1109,,,,,,,111,,,,720,1474,1890,,3
1996,4,578,,14,,139,3304,,,,433,120,1741,250,1006,530,47,,,,,,207,4334,1720,788,,,,2618,5126,,,,,492,,,,1025,,,,,,,82,,,,592,1536,1741,,3
1996,5,556,,16,,162,3228,,,,335,84,1652,244,1025,567,24,,,,,,196,4127,1777,855,,,,2584,5216,,,,,561,,,,1118,,,,,,,77,,,,572,1592,1652,,3
1996,6,596,,18,,157,3310,,,,294,77,1506,237,958,507,22,,,,,,173,3774,1586,813,,,,2322,4721,,,,,506,,,,951,,,,,,,64,,,,614,1465,1506,,3
1996,7,624,,14,,162,3182,,,,278,87,1507,254,1073,485,18,,,,,,148,3850,1825,1013,,,,2464,5302,,,,,602,,,,983,,,,,,,74,,,,638,1558,1507,,3
1996,8,601,,20,,152,3499,,,,260,115,1479,251,1048,449,17,,,,,,180,3799,1723,926,,,,2487,5136,,,,,656,,,,894,,,,,,,89,,,,621,1497,1479,,3
1996,9,571,,11,,170,3170,,,,298,103,1312,250,1024,383,18,,,,,,170,3558,1637,833,,,,2467,4937,,,,,585,,,,790,,,,,,,76,,,,582,1407,1312,,3
1996,10,621,,6,,189,3687,,,,278,106,1394,272,1078,415,20,,,,,,234,3797,1715,751,,,,2776,5242,,,,,691,,,,877,,,,,,,74,,,,627,1493,1394,,3
1996,11,557,,14,,182,3544,,,,287,94,1412,249,1012,366,16,,,,,,226,3662,1504,695,,,,2717,4916,,,,,713,,,,759,,,,,,,92,,,,571,1378,1412,,3
1996,12,627,,12,,186,3759,,,,315,87,1350,319,1105,449,19,,,,,,195,3839,1553,902,,,,2799,5254,,,,,673,,,,729,,,,,,,111,,,,639,1554,1350,,3
1997,1,569,,10,,170,3812,,,,277,97,1442,256,1269,501,22,,,,,,265,4129,1772,830,,,,3005,5607,,,,,737,,,,810,,,,,,,59,,,,579,1770,1442,,3
1997,2,649,,11,,158,3676,,,,277,84,1360,198,1162,522,14,,,,,,228,3845,1564,969,,,,2818,5351,,,,,836,,,,729,,,,,,,92,,,,660,1684,1360,,3
1997,3,624,,8,,161,3840,,,,326,111,1634,227,1212,501,9,,,,,,294,4314,1901,870,,,,2949,5720,,,,,897,,,,884,,,,,,,73,,,,632,1713,1634,,3
1997,4,530,,14,,177,3670,,,,337,82,1776,246,1374,621,15,,,,,,295,4746,1845,1098,,,,3016,5959,,,,,778,,,,1004,,,,,,,66,,,,544,1995,1776,,3
1997,5,586,,11,,188,3599,,,,418,89,1736,276,1461,633,7,,,,,,277,4897,1865,1178,,,,3103,6146,,,,,811,,,,961,,,,,,,67,,,,597,2094,1736,,3
1997,6,640,,16,,181,3512,,,,370,79,1641,259,1349,543,17,,,,,,287,4545,1769,1031,,,,2871,5671,,,,,704,,,,998,,,,,,,57,,,,656,1892,1641,,3
1997,7,541,,10,,190,3155,,,,325,73,1687,186,872,533,16,,,,,,1062,4754,2001,621,,,,3500,6122,,,,,242,,,,823,,,,,,,0,,,,551,1405,1687,,3
1997,8,544,,6,,184,3232,,,,295,79,1667,257,895,612,17,,,,,,1063,4885,1948,689,,,,3925,6562,,,,,273,,,,829,,,,,,,0,,,,550,1507,1667,,3
1997,9,601,,7,,238,3528,,,,294,70,1692,308,952,579,7,,,,,,1059,4961,1923,527,,,,3728,6178,,,,,252,,,,846,,,,,,,0,,,,608,1531,1692,,3
1997,10,573,,2,,236,3805,,,,331,90,1763,310,1080,602,13,,,,,,815,5004,1819,706,,,,3845,6370,,,,,320,,,,956,,,,,,,0,,,,575,1682,1763,,3
1997,11,529,,11,,235,4084,,,,308,82,1696,275,951,427,6,,,,,,985,4730,1845,501,,,,3727,6073,,,,,275,,,,931,,,,,,,0,,,,540,1378,1696,,3
1997,12,537,,11,,237,4360,,,,321,64,1482,265,935,500,13,,,,,,1101,4681,1582,609,,,,3847,6038,,,,,263,,,,859,,,,,,,0,,,,548,1435,1482,,3
1998,1,577,,14,18,236,5377,,323,,380,72,1799,320,1100,614,11,,,,,,1031,5327,1754,705,,,,4355,6814,,,,,991,,,,968,,,,,,,13,,,,609,1714,1799,,3
1998,2,519,,7,23,241,4714,,259,,330,74,1582,255,1015,564,11,,,,,,1088,4919,1575,623,,,,3779,5977,,,,,1102,,,,912,,,,,,,45,,,,549,1579,1582,,3
1998,3,606,,11,35,204,5216,,312,,394,59,1762,309,1054,610,19,,,,,,1191,5398,1889,564,,,,4582,7035,,,,,1004,,,,1029,,,,,,,110,,,,652,1664,1762,,3
1998,4,518,,10,41,207,4484,,373,,350,67,1750,220,911,597,18,,,,,,1297,5210,1869,513,,,,4021,6403,,,,,1056,,,,1009,,,,,,,51,,,,569,1508,1750,,3
1998,5,489,,12,41,211,3883,,350,,305,93,1768,246,795,558,10,,,,,,1284,5059,1981,322,,,,3963,6266,,,,,1240,,,,1000,,,,,,,30,,,,542,1353,1768,,3
1998,6,396,,5,38,171,4016,,321,,319,62,1609,240,759,489,15,,,,,,1171,4664,1804,422,,,,3631,5857,,,,,1282,,,,942,,,,,,,26,,,,439,1248,1609,,3
1998,7,447,,13,24,169,4187,,327,,332,79,1966,256,879,594,10,,,,,,1217,5333,1989,415,,,,4122,6526,,,,,1265,,,,1109,,,,,,,62,,,,484,1473,1966,,3
1998,8,433,,9,32,188,4582,,362,,315,78,1857,189,878,518,14,,,,,,1309,5158,1752,484,,,,4048,6284,,,,,1271,,,,1072,,,,,,,25,,,,474,1396,1857,,3
1998,9,433,,8,32,185,4569,,342,,303,81,1691,147,831,590,7,,,,,,1436,5086,1646,428,,,,4079,6153,,,,,1272,,,,941,,,,,,,29,,,,473,1421,1691,,3
1998,10,458,,9,32,202,4762,,328,,296,69,1938,83,787,512,7,,,,,,1711,5403,1745,381,,,,4330,6456,,,,,1098,,,,1064,,,,,,,45,,,,499,1299,1938,,3
1998,11,385,,22,29,207,4673,,418,,331,74,1885,115,722,576,9,,,,,,1638,5350,1676,347,,,,4016,6039,,,,,952,,,,1074,,,,,,,19,,,,436,1298,1885,,3
1998,12,465,,9,10,197,5331,,393,,309,88,1912,125,827,515,9,,,,,,1676,5461,1629,483,,,,4465,6577,,,,,844,,,,1041,,,,,,,7,,,,484,1342,1912,,3
1999,1,530,4,4,29,231,5351,,345,3410,368,82,2241,99,877,544,4,,,,,,1457,5672,1899,499,,,,4198,6596,0,,,,800,,,,1012,,,,,3021,,112,,,,567,1421,2241,32209,3
1999,2,508,7,14,25,229,5289,,349,2943,347,97,2019,101,890,577,16,,,,,,1530,5577,1603,431,,,,4217,6251,0,,,,632,,,,961,,,,,2951,,99,,,,554,1467,2019,30621,3
1999,3,451,13,12,25,222,5463,,328,3071,421,108,2652,121,900,633,20,,,,,,1883,6738,1999,381,,,,4576,6956,0,,,,763,,,,1437,,,,,3383,,67,,,,501,1533,2652,35094,3
1999,4,510,6,14,15,205,4936,,304,3232,443,98,2535,103,897,713,13,,,,,,1635,6437,1841,347,,,,4498,6686,0,,,,732,,,,1348,,,,,3016,,67,,,,545,1610,2535,32577,3
1999,5,533,6,8,33,209,4664,,356,3511,443,114,2684,78,1067,699,15,,,,,,1590,6690,1866,384,,,,4721,6971,0,,,,771,,,,1426,,,,,2930,,81,,,,580,1766,2684,33588,3
1999,6,494,4,4,20,186,4994,,355,3152,459,122,2798,87,987,670,19,,,,,,1620,6762,1814,387,,,,4677,6878,0,,,,733,,,,1443,,,,,3056,,75,,,,522,1657,2798,32885,3
1999,7,463,10,10,13,208,4650,,344,3293,441,135,2874,72,1085,668,8,,,,,,1577,6860,1739,436,,,,4589,6764,0,,,,754,,,,1627,,,,,3094,,88,,,,496,1753,2874,34052,3
1999,8,555,21,27,18,165,4789,,284,2893,479,126,2580,90,1114,645,12,,,,,,1507,6553,1637,432,,,,4299,6368,0,,,,679,,,,1445,,,,,3073,,91,,,,621,1759,2580,32684,3
1999,9,448,10,19,25,172,5219,,310,3086,414,91,2460,73,1207,687,5,,,,,,1452,6389,1555,404,,,,4187,6146,0,,,,682,,,,1454,,,,,3301,,71,,,,502,1894,2460,32756,3
1999,10,447,7,15,21,204,5474,,282,3204,454,113,2550,80,1314,639,8,,,,,,1380,6538,1615,485,,,,4452,6552,0,,,,790,,,,1380,,,,,3428,,76,,,,490,1953,2550,33646,3
1999,11,471,6,11,39,212,5105,,267,3099,405,118,2136,72,1209,592,3,,,,,,1467,6002,1538,513,,,,4721,6772,0,,,,815,,,,1196,,,,,3553,,75,,,,527,1801,2136,32548,3
1999,12,478,11,8,26,250,6087,,449,3677,389,117,2137,95,1346,586,6,,,,,,1629,6305,1417,690,,,,4960,7067,0,,,,753,,,,1082,,,,,3532,,99,,,,523,1932,2137,34179,3
2000,1,547,11,13,37,190,6254,,264,6254,373,129,2165,245,1278,633,10,,0,,,,1450,6283,1610,588,,,,4862,7060,1,,,,758,,,,1188,,,,,3334,,71,,,,608,1911,2165,33870,3
2000,2,500,6,11,32,202,5983,,252,5983,369,109,2257,293,1572,795,19,,0,,,,1268,6682,1466,623,,,,4992,7081,0,,,,765,,,,1695,,,,,4143,,79,,,,549,2367,2257,36131,3
2000,3,572,12,12,25,241,5891,,202,5891,391,149,2503,274,1467,809,8,,0,,,,1379,6980,1483,747,,,,5394,7624,0,,,,894,,,,1952,,,,,4033,,99,,,,621,2276,2503,37426,3
2000,4,546,7,19,22,208,5594,,192,5594,428,105,2749,303,1370,776,14,,0,,,,1379,7124,1410,639,,,,4885,6934,1,,,,838,,,,2106,,,,,3896,,96,,,,594,2146,2749,35786,3
2000,5,577,7,13,30,193,5466,,248,5466,438,94,2757,327,1607,819,14,,0,,,,1419,7475,1557,645,,,,5231,7433,0,,,,715,,,,2189,,,,,3822,,82,,,,627,2426,2757,37301,3
2000,6,545,6,28,26,202,5188,,217,5188,508,115,2289,324,1742,807,18,,0,,,,1065,6868,1497,847,,,,4744,7088,1,,,,783,,,,1907,,,,,3688,,115,,,,605,2549,2289,35201,3
2000,7,448,5,16,32,186,5190,,234,5190,515,126,2283,278,1751,662,17,,0,,,,1084,6716,1423,754,,,,4726,6903,0,,,,815,,,,1896,,,,,3803,,65,,,,501,2413,2283,34894,3
2000,8,500,4,16,50,234,5660,,219,5660,477,134,2248,253,1856,698,10,,1,,,,1205,6882,1464,854,,,,5232,7550,0,,,,973,,,,1916,,,,,4482,,77,,,,570,2555,2248,37087,3
2000,9,472,3,19,43,196,5607,,199,5607,484,111,2118,255,1916,611,17,,0,,,,1112,6624,1437,914,,,,4951,7302,0,,,,884,,,,1834,,,,,4233,,83,,,,537,2527,2118,35060,3
2000,10,550,8,12,46,279,6653,,225,6653,472,129,2043,252,1935,697,17,,0,,,,1238,6783,1539,975,,,,4952,7466,1,,,,897,,,,1745,,,,,5107,,80,,,,616,2632,2043,37393,3
2000,11,495,6,16,47,260,5827,,205,5827,440,100,2119,271,1432,502,13,,779,,,,1434,7090,1512,778,,,,5236,7526,1,,,,1066,,,,1724,,,,,4332,,96,,,,564,2713,2119,35435,3
2000,12,535,4,25,37,250,6484,,221,6484,469,108,2197,316,1293,496,11,,1340,,,,1505,7735,1362,935,,,,6094,8391,0,,,,871,,,,1764,,,,,4343,,107,,,,601,3129,2197,36886,3
2001,1,543,5,17,43,299,6582,,240,3416,421,116,2209,264,1059,440,12,,1388,,,,1818,7727,1487,863,,,,6677,9027,0,,,,923,,,,1738,,,,,4714,,99,,,,608,2887,2209,37342,3
2001,2,547,6,18,52,295,6393,,233,3576,438,111,2138,212,1106,466,14,,1223,,,,1896,7604,1426,612,,,,5869,7907,0,,,,984,,,,1667,,,,,4338,,92,,,,623,2795,2138,35666,3
2001,3,573,7,23,57,278,6611,,221,3277,520,132,2589,292,1120,586,10,,1405,,,,1963,8617,1630,533,,,,6536,8699,1,,,,940,,,,2001,,,,,5226,,114,,,,660,3111,2589,39243,3
2001,4,526,8,29,53,278,6483,,266,3720,523,131,2305,281,1084,570,15,,1339,,,,1853,8101,1481,519,,,,6083,8083,0,,,,859,,,,1988,,,,,4971,,130,,,,616,2993,2305,37865,3
2001,5,519,6,31,45,254,5609,,287,3632,518,109,2234,283,1071,630,14,,1398,,,,1869,8126,1522,539,,,,6136,8197,0,,,,940,,,,2028,,,,,4642,,102,,,,601,3099,2234,37289,3
2001,6,443,8,25,50,258,5559,,241,3384,500,130,2205,273,1049,467,11,,1316,,,,1812,7763,1482,574,,,,5643,7699,2,,,,929,,,,1856,,,,,4659,,80,,,,526,2832,2205,35618,3
2001,7,430,3,7,42,224,5464,,269,3600,521,92,2053,264,1206,355,13,,1231,,,,1647,7382,1535,777,,,,5502,7814,0,,,,1105,,,,1865,,,,,4565,,65,,,,482,2792,2053,36187,3
2001,8,477,8,20,48,242,5671,,253,3590,565,86,2387,284,1328,326,18,,1320,,,,1885,8199,1554,797,,,,5629,7980,2,,,,1354,,,,2143,,,,,4835,,70,,,,553,2974,2387,39287,3
2001,9,495,4,17,50,255,5779,,231,3642,596,149,2483,270,1308,315,9,,1315,,,,1962,8407,1470,753,,,,5501,7724,1,,,,1217,,,,2020,,,,,4895,,98,,,,566,2938,2483,37415,3
2001,10,547,10,21,57,264,6118,,218,3658,714,141,2463,272,1379,339,15,,1456,,,,2059,8838,1591,796,,,,5945,8332,0,,,,1275,,,,2200,,,,,5437,,100,,,,635,3174,2463,40485,3
2001,11,548,9,25,43,263,5969,,224,3335,600,108,2522,281,1370,365,20,,1345,,,,2025,8636,1476,733,,,,5776,7985,2,,,,1060,,,,2191,,,,,4852,,91,,,,625,3080,2522,38515,3
2001,12,515,9,12,52,276,6400,,257,3867,584,120,2511,347,1418,316,13,,1201,,,,2063,8573,1543,943,,,,5935,8421,1,,,,1006,,,,2077,,,,,4989,,88,,,,588,2935,2511,38665,3
2002,1,536,7,13,86,285,6158,,185,3358,529,124,2774,336,1316,322,17,,1297,,,,2275,8990,1785,797,,,,6433,9015,2,,,,1040,,,,2396,,,,,5370,396,95,4,,,642,2935,2774,39833,3
2002,2,533,0,8,57,267,5584,,213,3160,537,111,2611,297,1324,311,11,,1345,,,,2336,8883,1578,741,,,,5869,8188,1,,,,988,,,,2336,,,,,4819,361,107,1,,,598,2980,2611,37020,3
2002,3,614,7,20,63,361,6554,,230,3769,682,134,3262,413,1578,465,9,,1422,,,,2812,10777,1781,778,,,,6513,9072,0,,,,966,,,,2638,,,,,5326,416,123,4,,,704,3465,3262,42741,3
2002,4,668,7,24,70,311,6367,,222,3585,669,165,3490,459,1722,508,14,,1369,,,,2954,11350,1839,842,,,,6364,9045,2,,,,879,,,,3046,,,,,5652,409,87,2,,,769,3599,3490,43805,3
