,Created At,Text,Geo Coordinates.latitude,Geo Coordinates.longitude,User Location,Username,User Screen Name,Retweet Count,Classificacao,Observação,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
10,Mon Jan 09 15:09:31 +0000 2017,"""Daí a gente visita governador valadares""
""Que lugar eh esse mãe?""
""MG, a gente tem uns parente la""

MANO onde q eu NÃO tenho parente",,,error 404 location not found,gambim,marina_gambim,0,Neutro,,,,,,,,,,,,,,,,
11,Thu Jan 05 00:41:09 +0000 2017,"""É bonita e é bonita..."" 
#latergram #ibituruna #home @ Governador Valadares, Minas Gerais https://t.co/y12TtNqpnH",,,"Minas Gerais, Brasil",Nicolle S. F. Boroni,niboroni,0,Neutro,,,,,,,,,,,,,,,,
12,Mon Jan 09 16:06:23 +0000 2017,"""erro desconhecido"" é mato! Aliás, é da secretaria estadual de fazenda que tá assim... MG não precisa de dinheiro não, Governador?",,,"Santo Antônio do Monte, Brasil",Roberta de Oliveira,betavox,0,Negativo,,,,,,,,,,,,,,,,
13,Mon Jan 09 09:45:07 +0000 2017,"""La La Land: Cantando Estações"" arrasa no Globo de Ouro - Estado de Minas https://t.co/aQ0NG1bp5f https://t.co/aY3qlrVnTE",,,BRASIL,Grimoar,Grimoar,0,Neutro,,,,,,,,,,,,,,,,
14,Mon Jan 09 10:00:35 +0000 2017,"""La La Land: Cantando Estações"" arrasa no Globo de Ouro - Estado de Minas https://t.co/qRI9DCiicc",,,,Lenilda Miranda,nilda_ap,0,Neutro,,,,,,,,,,,,,,,,
15,Thu Jan 05 16:01:15 +0000 2017,"""Los abusos, aun en el estado más sólido, son minas sordas que tarde o temprano estallan"" Joseph Sanial-Dubay",,,San Pedro Garza García,MiguelAngel Melendez,miguelangelmm,0,Neutro,,,,,,,,,,,,,,,,
16,Thu Jan 05 03:26:49 +0000 2017,"""Mesmo sem muito dinheiro no caixa o governo de Minas Gerais compra 2 (DOIS) helicópteros."" Dois... Helicópteros... Minas Gerais... #2017 s1",,,,Gê de Alcaniz,Gdealcaniz,0,Negativo,,,,,,,,,,,,,,,,
17,Mon Jan 09 19:57:30 +0000 2017,"""Modelo de segurança será o nosso legado"", diz Cláudio Beato - Politica - Estado de Minas https://t.co/1MqOJo7Nnf",,,"Belo Horizonte, Brasil",Evilazio Gonzaga,Evilazio,0,Neutro,,,,,,,,,,,,,,,,
18,Mon Jan 09 10:27:35 +0000 2017,"""Modelo de segurança será o nosso legado"", diz Cláudio Beato - Politica - Estado de Minas https://t.co/kA09mEn4xN",,,Belo Horizonte MG Brasil,Ricardo Carlini,carlinibh,0,Neutro,,,,,,,,,,,,,,,,
19,Mon Jan 09 19:48:36 +0000 2017,"""Modelo de segurança será o nosso legado"", diz Cláudio Beato - Politica - Estado de Minas https://t.co/S97Khxldiu",,,Belo Horizonte/MG/Brasil,Bruno,bcapu,0,Neutro,,,,,,,,,,,,,,,,
20,Wed Jan 04 19:43:08 +0000 2017,"""O governo de Minas Gerais não comentou o assunto. ""

https://t.co/SNYMRfQ737",,,"Belo Horizonte, Brazil",Fora Renan,CedeSilva,4,Neutro,,,,,,,,,,,,,,,,
21,Thu Jan 05 10:14:44 +0000 2017,"""O governo federal publicou no dia 27 de dezembro de 2016, a Medida Provisória 764/16 que permite a diferenciação... https://t.co/0DlDpZ9WGz",,,"Teófilo Otoni, Brasil",Onde encontro? TO,wherecanifindto,0,Neutro,,,,,,,,,,,,,,,,
22,Fri Jan 06 20:59:57 +0000 2017,"""Polícia Federal acaba de divulgar que encontrou provas no apartamento do Lula, mas só até a 4ª série."" Jornal Estado de Minas",,,Brasil,Xandão TIMbeta,xandao_007,1,Neutro,,,,,,,,,,,,,,,,
23,Sat Jan 07 23:41:11 +0000 2017,"""Praia da Estação"" lota neste sábado de verão em BH - Gerais - Estado de Minas https://t.co/DpG3CNfZBb",,,Belo Horizonte/MG,Marcelo Ernesto,MarceloErnesto,0,Neutro,,,,,,,,,,,,,,,,
24,Mon Jan 09 14:52:12 +0000 2017,"""Representando mais uma ferramenta de monitoramento da educação da rede estadual em Minas, a Secretaria de Estado... https://t.co/brsfBqHXlQ",,,,Andréa Brandão,andreabmappa,0,Neutro,,,,,,,,,,,,,,,,
25,Thu Jan 05 15:37:13 +0000 2017,"""uso de aeronave pertencente ao  Estado de MG, em domingo, p/ fins pessoais,  em claro desvio de finalidade"" - https://t.co/WEfv5iLyju",,,Fortaleza -  Ceará - Brasil ,Vitor.R.,vitorr82,0,Negativo,,,,,,,,,,,,,,,,
26,Tue Jan 10 05:36:07 +0000 2017,"""vou postar umas curiosidades sobre o corpo humano""

*o Japão é menor que o estado de minas gerais* ????¿¿¿.?¿",,,louisflowers,halsey,shoutoutlarry,0,Neutro,,,,,,,,,,,,,,,,
27,Thu Jan 05 10:02:25 +0000 2017,"#ACORDAMINAS!!!

O governador Fernando Pimentel, depois de ser flagrado usando um helicóptero do Estado de MG... https://t.co/bedW4w4jij",,,Brasil,Juarez,juarezrds,0,Neutro,,,,,,,,,,,,,,,,
28,Thu Jan 05 09:42:06 +0000 2017,"#ACORDAMINAS!!!!

O povo mineiro tem que da um pé na bunda  desse  canalha... https://t.co/ZKZNVmyXbg",,,Brasil,Juarez,juarezrds,0,Neutro,,,,,,,,,,,,,,,,
29,Thu Jan 05 21:12:11 +0000 2017,#Alerta - Nome da CEEE é utilizado em golpe no Estado. https://t.co/i5ndsWhXR4 https://t.co/yaEM6s3Z2f,,,Pelotas (RS),Diário Popular,diariopopularRS,4,Negativo,,,,,,,,,,,,,,,,
30,Fri Jan 06 11:02:14 +0000 2017,#beta #betalab #mg Afiliada da Globo: Apresentador no AM é demitido após criticar governador… https://t.co/hlH8ITxXig,,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
31,Sun Jan 08 00:23:13 +0000 2017,#beta #betalab #mg Caos nos presídios: AM pede apoio à União seis dias após massacre https://t.co/GRv0HkrX3T… https://t.co/YJy2RcSfWZ,,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
32,Sat Jan 07 15:39:12 +0000 2017,#beta #betalab #mg Caos nos presídios: Temer e Cármen Lúcia se reúnem para debater crise https://t.co/e34RNvtU7v… https://t.co/8xKwPTOv4C,,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
33,Mon Jan 09 20:13:40 +0000 2017,#beta #betalab #mg Crise carcerária: Governo de Roraima pede Força Nacional a Temer https://t.co/wLslS1T6ZI… https://t.co/NK4c5IhNUg,,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
34,Mon Jan 09 16:19:14 +0000 2017,#beta #betalab #mg Crise carcerária: Secretário de SP diz haver guerra de facções no país https://t.co/RSf2Tk1VmX… https://t.co/Sonel0f8Xq,,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
35,Wed Jan 04 21:28:12 +0000 2017,#beta #betalab #mg Crise política no DF se agrava: Rollemberg exonera vice-governador de cargo… https://t.co/idJfAELeW4 #timbeta #rt #brasil,,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
36,Sun Jan 08 22:11:07 +0000 2017,#beta #betalab #mg Escalada de violência nos presídios: AM pede apoio da Força Nacional;… https://t.co/ysX8TXSm50… https://t.co/NAly4Uxb5h,,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
37,Sun Jan 08 16:06:34 +0000 2017,#beta #betalab #mg Escalada de violência: Crime organizado no Brasil é disputado por 27… https://t.co/loRe3EfGaF… https://t.co/sSY5liKfMl,,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
38,Mon Jan 09 11:51:09 +0000 2017,"#beta #betalab #mg Estado afirma não ter sido notificado: Apesar de decisão judicial, reajuste…… https://t.co/IMG9Vxs4nK",,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
39,Thu Jan 05 18:51:27 +0000 2017,"#beta #betalab #mg Estado de espírito do paulistano: ""Voz"" do trânsito, buzina reflete pressa,…… https://t.co/hvLy03lyt3",,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
40,Sat Jan 07 12:22:13 +0000 2017,#beta #betalab #mg Estados falidos: Parte do PMDB quer barrar vetos de Temer na negociação de…… https://t.co/h9KQvBYlYV,,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
41,Tue Jan 10 11:12:09 +0000 2017,#beta #betalab #mg Ex-ministro e outros: Servidores da era PT se mantêm em cargos estratégicos… https://t.co/Q2Nor97ngg #timbeta #rt #brasil,,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
42,Thu Jan 05 15:14:14 +0000 2017,#beta #betalab #mg Ex-presidente da Câmara: Justiça suíça vê 'indícios concretos' contra… https://t.co/fwuwi8S4oD… https://t.co/w1W2SaN172,,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
43,Wed Jan 04 19:37:11 +0000 2017,#beta #betalab #mg Governo em calamidade financeira: BB avisa Justiça que Minas não tem… https://t.co/CdXt0cvcuY… https://t.co/s8un5iFnQS,,,,Guilherme # Beta,guilhermecorde,0,Negativo,,,,,,,,,,,,,,,,
44,Thu Jan 05 08:36:20 +0000 2017,#beta #betalab #mg Mais sobre o massacre: PF: Facção tinha 'cela de comando' dentro da prisão… https://t.co/W3Cr89L0dk,,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
45,Sat Jan 07 15:06:38 +0000 2017,#beta #betalab #mg Marketing e veto a medidas de Paes: De doação de sangue a capoeira: a 1ª…… https://t.co/xPnt6omym6,,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
46,Wed Jan 04 23:50:12 +0000 2017,#beta #betalab #mg Massacre em presídio de Manaus: Governo do AM rebate ministro da Justiça e… https://t.co/MaBb4airMU #timbeta #rt #brasil,,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
47,Wed Jan 04 18:26:13 +0000 2017,#beta #betalab #mg Mudanças propostas pelo governo: Reforma libera trabalhar 12 horas alguns…… https://t.co/eIDgx5Ak3n,,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
48,Mon Jan 09 14:36:35 +0000 2017,"#beta #betalab #mg Muitas páginas de investigação: ""QG"" da Lava Jato reúne mais de 30 milhões…… https://t.co/pQF48BKPMr",,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
49,Sun Jan 08 14:59:07 +0000 2017,"#beta #betalab #mg Nos últimos dois anos: Governo pagou R$ 2,4 bi a alvos da Lava Jato https://t.co/KN8C0LcReb… https://t.co/GDQVhjO1Hc",,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
50,Fri Jan 06 20:30:12 +0000 2017,"#beta #betalab #mg Nova chacina em presídio: PCC matou presos sem facção, diz governo de RR https://t.co/e17QVKbWVV… https://t.co/HJinQ9Y8aT",,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
51,Sat Jan 07 20:34:11 +0000 2017,#beta #betalab #mg Onda de violência nos presídios: Governo de Roraima divulga lista oficial…… https://t.co/HLcGf3UtCx,,,,Guilherme # Beta,guilhermecorde,1,Neutro,,,,,,,,,,,,,,,,
52,Mon Jan 09 23:03:18 +0000 2017,#beta #betalab #mg Pede respeito aos direitos dos detentos: Defensoria Pública da União vai ao…… https://t.co/kKbLNKRXfi,,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
53,Fri Jan 06 10:27:20 +0000 2017,#beta #betalab #mg Pedido ao STF irritou Meirelles: Governo ameaça suspender aval para… https://t.co/cHJbFIKAOY… https://t.co/uSTdKS5mCn,,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
54,Thu Jan 05 02:09:38 +0000 2017,#beta #betalab #mg Reforma no poder da Venezuela: Maduro nomeia novo vice-presidente e troca…… https://t.co/BPMWBODUM2,,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
55,Sat Jan 07 02:31:06 +0000 2017,"#beta #betalab #mg Revista encontra armas e drogas: Rifle, 42 facas e roteador são achados em…… https://t.co/TlIOyQeKb0",,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
56,Sun Jan 08 00:23:15 +0000 2017,#beta #betalab #mg Rio reforçou Operação Praia: Sábado de calor tem confusão e roubo nas… https://t.co/TwU41FTyfq… https://t.co/fSPlWFWWVo,,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
57,Fri Jan 06 18:51:06 +0000 2017,#beta #betalab #mg Segundo agentes penitenciários: Presídios do RJ estão em alerta desde… https://t.co/jODEM3J6Y4… https://t.co/gLMfJEuCNS,,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
58,Sat Jan 07 03:03:10 +0000 2017,#beta #betalab #mg 'Tinha que matar mais': Secretário de Temer deixa cargo após dizer que… https://t.co/ZZm1TCutjz… https://t.co/OoJJ3GcokW,,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
59,Mon Jan 09 18:33:08 +0000 2017,#beta #betalab #mg UOL Confere a crise prisional: Gestão privada de presídio não exime… https://t.co/dj5fy2PIwi… https://t.co/wCmH4Qhxt7,,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
60,Thu Jan 05 15:14:16 +0000 2017,#beta #betalab #mg UOL Confere: Governo Temer distorce dados econômicos em propaganda de 120…… https://t.co/w4dzb3AgfT,,,,Guilherme # Beta,guilhermecorde,0,Neutro,,,,,,,,,,,,,,,,
61,Mon Jan 09 18:16:46 +0000 2017,"#BRASILestáCHEIOdeMAMÃEsouFODA #METADEdoBRASILpertenceaosPOLÍTICOSaoutraédosBANCOSeEMPRESÁRIOS
- Estado de Minas https://t.co/2YrgURW1zL",,,BELO HORIZONTE - BRASIL,POOL BUSINESSES BR,GLOBALIZANTE,0,Neutro,,,,,,,,,,,,,,,,
62,Tue Jan 10 11:06:50 +0000 2017,#brasilmetropole Saúde mantém estado de atenção e investiga casos de febre amarela https://t.co/HAq4OMqMJK,,,Minas Gerais,Brasil Metrópole,brasilmetropole,0,Neutro,,,,,,,,,,,,,,,,
63,Mon Jan 09 19:53:08 +0000 2017,"#Cidades Com a alta incidência, a Secretaria de Estado de Saúde mantém alerta para moradores e visitantes de 15... https://t.co/qsntM0quLy",,,"Betim, Minas Gerais",O TEMPO Betim,otbetim,0,Neutro,,,,,,,,,,,,,,,,
64,Thu Jan 05 23:20:20 +0000 2017,#COPINHANAREDEVIDA  Eu e meu pai ligado na copinha pela Rede Vida! SOMOS DE GOVERNADOR VALADARES MG,,,"Governador Valadares, Brasil",Yuri Lelis,YuriLelis2,0,Neutro,,,,,,,,,,,,,,,,
65,Wed Jan 04 21:17:07 +0000 2017,"#DefesaAgropecuária ""Governo de Minas Gerais aposta nos Arranjos Produtivos Locais"" na #RITDA: https://t.co/FzwaAJbcsw",,,,RIT DA,inovadefesa,0,Positivo,,,,,,,,,,,,,,,,
66,Mon Jan 09 22:24:33 +0000 2017,#EBC Governo de Minas investiga casos suspeitos de febre amarela e malária no estado https://t.co/SQIpvlLbvY,,,,Taís Krug,TaNaBoa,0,Positivo,,,,,,,,,,,,,,,,
67,Mon Jan 09 19:00:01 +0000 2017,#EducaçãoMG Governo de Minas Gerais reconhece Folias de Reis como Patrimônio Imaterial do Estado.… https://t.co/YvVFinjaLL,,,Belo Horizonte - Minas Gerais,EducaçãoMG,EducacaoMinas,0,Neutro,,,,,,,,,,,,,,,,
68,Tue Jan 10 02:52:33 +0000 2017,#ForçaMichael O atacante Michael sofreu um traumatismo craniano após colidir com uma vaca em Minas e está em estado… https://t.co/dja4NqF1ZD,,,"Rio de Janeiro, Brasil",Canal Bate Pronto,CanalBatePronto,0,Neutro,,,,,,,,,,,,,,,,
69,Thu Jan 05 14:12:56 +0000 2017,"#holachilevierneschico jajaja los wns preparados, nada al azar #califa las minas abran estado tan buenas,como para haber asumido el riesgo?",,,"Concepción, Chile",ChileanJoker,chileanjoker,0,Neutro,,,,,,,,,,,,,,,,
70,Thu Jan 05 17:31:34 +0000 2017,#i5gornascimento @i5gornascimento @cristiano UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/NnA9YFp4BP,,,,Fabiane,F27607321,0,Neutro,,,,,,,,,,,,,,,,
71,Fri Jan 06 20:45:49 +0000 2017,"#i5gornascimento @i5gornascimento g1 Corpo em estado de decomposição é encontrado em Poços de Caldas, MG https://t.co/ndVVD6kdly",,,,Steffani Prudencio,SteffaniPruden1,0,Neutro,,,,,,,,,,,,,,,,
72,Thu Jan 05 21:45:55 +0000 2017,#i5gornascimento @i5gornascimento g1 Prefeito de Aimorés decreta estado de emergência administrativa https://t.co/0Jh7ARbSnk,,,,Steffani Prudencio,SteffaniPruden1,0,Negativo,,,,,,,,,,,,,,,,
73,Wed Jan 04 19:46:53 +0000 2017,#i5gornascimento @i5gornascimento g1 Vereadores de Governador Valadares não terão 13º salário em 2017 https://t.co/9dJnmDxEAI,,,,Steffani Prudencio,SteffaniPruden1,0,Neutro,,,,,,,,,,,,,,,,
74,Fri Jan 06 19:30:56 +0000 2017,#i5gornascimento @i5gornascimento Governador Valadares registra dois assassinatos em menos de uma hora https://t.co/ZcuZugp8dq,,,,⊰ㅤㅤㅤ Júſiα• Schmitt,_juliaschmitt,0,Neutro,,,,,,,,,,,,,,,,
75,Thu Jan 05 17:31:23 +0000 2017,#i5gornascimento @i5gornascimento UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/FYeEFvieCy,,,,⊰ㅤㅤㅤ Júſiα• Schmitt,_juliaschmitt,0,Neutro,,,,,,,,,,,,,,,,
76,Wed Jan 04 20:07:54 +0000 2017,"#ImpeachmentPimentel #PTNuncaMais 
Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros https://t.co/rcLSmbvdoH",,,"São Paulo, Brasil",Malditos corruPTos,malditoPT,0,Neutro,,,,,,,,,,,,,,,,
77,Wed Jan 04 21:56:31 +0000 2017,"#ImpeachmentPimentel #PTNuncaMais #ForaPT #ForaPCdoB #ForaPSOL #ForaRede 
https://t.co/0RRGhWdmdB",,,"São Paulo, Brasil",Malditos corruPTos,malditoPT,0,Neutro,,,,,,,,,,,,,,,,
78,Sat Jan 07 20:53:06 +0000 2017,"#Janeiro, #PartiuFerias, GOVERNADOR VALADARES/MG, Pousada Vale Silvestre EcoPark, Comprar: https://t.co/rNRqRFbUeM… https://t.co/2UyZ6Ojdp7",,,Brasil,Tô De Férias,todeferias,0,Neutro,,,,,,,,,,,,,,,,
79,Thu Jan 05 19:52:55 +0000 2017,"#Janeiro, #PartiuFerias, GOVERNADOR VALADARES/MG, Pousada Vale Silvestre EcoPark, Comprar: https://t.co/rNRqRFbUeM… https://t.co/qw78x6qm7k",,,Brasil,Tô De Férias,todeferias,0,Neutro,,,,,,,,,,,,,,,,
80,Wed Jan 04 23:31:02 +0000 2017,"#jornaldacultura
Por Favor comentem a compra de dois helicópteros pelo governo de Minas Gerais e o uso do Helicópteros por Pimentel",,,,Marta,Marta01064636,0,Neutro,,,,,,,,,,,,,,,,
81,Mon Jan 09 18:12:36 +0000 2017,#METADEdoBRASILpertenceaosPOLÍTICOSaoutraédosBANCOSeEMPRESÁRIOS  Politica - Estado de Minas https://t.co/usvOMucmuq,,,BELO HORIZONTE - BRASIL,POOL BUSINESSES BR,GLOBALIZANTE,0,Neutro,,,,,,,,,,,,,,,,
82,Sat Jan 07 13:24:20 +0000 2017,#Microsoft  #lumia galera hj descobrir que aqui n estado do rio de janeiro n tem autorizada .(S.PAULO E MINAS ) NAO COMPREI WINDOWS PHONE,,,"rio de janeiro,tijuca",romulo cordeiro,bokaaboka,0,Neutro,,,,,,,,,,,,,,,,
83,Mon Jan 09 13:39:06 +0000 2017,#Mídia:  Press Release from Business Wire : Consumer Technology ... - Estado de Minas https://t.co/FGoxtwksdM,,,SP,Marcello Binder,binderbr,0,Neutro,,,,,,,,,,,,,,,,
84,Thu Jan 05 14:43:03 +0000 2017,#Mídia:  Press Release from Business Wire : Digital Living Network Alliance - Estado de Minas https://t.co/wj7wMchv8S,,,SP,Marcello Binder,binderbr,0,Neutro,,,,,,,,,,,,,,,,
85,Thu Jan 05 01:27:08 +0000 2017,#Mídia:  Press Release from Business Wire : IBC - Estado de Minas https://t.co/Uy5QuJo8wx,,,SP,Marcello Binder,binderbr,0,Neutro,,,,,,,,,,,,,,,,
86,Mon Jan 09 15:03:40 +0000 2017,#MINAS Postos dos Sine oferecem mais de 1.500 vagas de emprego no estado https://t.co/ZTrZ8MGrRp #Trabalho #Emprego #MG #Oportunidades,,,"Belo Horizonte, Brasil",Reginaldo Lopes,ReginaldoLopes,1,Neutro,,,,,,,,,,,,,,,,
87,Fri Jan 06 23:20:01 +0000 2017,"#Minas vai dobrar oferta de trabalho e estudo nos #presídios do Estado
https://t.co/CC6gpVFTCX",,,Belo Horizonte,Estado de Minas,em_com,1,Positivo,,,,,,,,,,,,,,,,
88,Fri Jan 06 23:05:01 +0000 2017,"#Minas vai dobrar oferta de trabalho e estudo nos #presídios do Estado
https://t.co/UxfPtAKxte",,,Belo Horizonte,Portal UAI,portaluai,1,Positivo,,,,,,,,,,,,,,,,
89,Thu Jan 05 17:48:20 +0000 2017,#Mortalidade por câncer cai 25% em 25 anos nos Estados Unidos - Estado de Minas https://t.co/fsZg1D8WCL,,,Germany / Europe,Global Pharma News,pharma_global,0,Neutro,,,,,,,,,,,,,,,,
90,Wed Jan 04 19:38:12 +0000 2017,#musicagratis Fundação Hospitalar do Estado de Minas Gerais (FHEMIG): A Fundação Hospitalar…… https://t.co/JXxZCenikX,,,https://goo.gl/g8V92v,Elton TIM BETA LAB,comerciofast,0,Neutro,,,,,,,,,,,,,,,,
91,Fri Jan 06 19:09:42 +0000 2017,#musicagratis Ministério Público de Minas Gerais (Araxá): O Ministério Público do Estado de…… https://t.co/4WqHRHwxOg,,,https://goo.gl/g8V92v,Elton TIM BETA LAB,comerciofast,0,Neutro,,,,,,,,,,,,,,,,
92,Sun Jan 08 04:54:18 +0000 2017,"#musicagratis Prefeitura de Rodeiro: A Prefeitura de Rodeiro, no Estado de Minas Gerais,… https://t.co/kdGlkcQKcG… https://t.co/NyF4ZQiZqm",,,https://goo.gl/g8V92v,Elton TIM BETA LAB,comerciofast,0,Neutro,,,,,,,,,,,,,,,,
93,Thu Jan 05 20:24:35 +0000 2017,"#noticiasdorenan Em calamidade financeira, governo de MG compra dois helicópteros: O… https://t.co/oW6G9hElta",,,"Varginha, Brasil",Notícias do Renan,renanlenzivga,0,Negativo,,,,,,,,,,,,,,,,
94,Mon Jan 09 12:00:44 +0000 2017,#noticiasdorenan Governo de Minas Gerais reconhece Folias de Reis como Patrimônio Imaterial… https://t.co/AL18Rr45X3,,,"Varginha, Brasil",Notícias do Renan,renanlenzivga,0,Neutro,,,,,,,,,,,,,,,,
95,Thu Jan 05 10:16:54 +0000 2017,#noticiasdorenan Uso de depósitos judiciais pelo governo tem nova polêmica em MG: O Banco… https://t.co/kHuZpKQaj5,,,"Varginha, Brasil",Notícias do Renan,renanlenzivga,0,Negativo,,,,,,,,,,,,,,,,
96,Tue Jan 10 01:33:13 +0000 2017,#OperacaoBetaLab #TimBeta #Beta #BetaLab #BetaAjudaBeta #BetaSegueBeta UOL: Desastre ambiental em MG: Empresas ped… https://t.co/kwyeKjhtcI,,,"Recife, Brasil",Gabriel_Beta,gabrgaz_beta,2,Neutro,,,,,,,,,,,,,,,,
97,Wed Jan 04 19:24:29 +0000 2017,#OperacaoBetaLab #TimBeta #Beta #BetaLab #BetaAjudaBeta #BetaSegueBeta UOL: Governo em calamidade financeira: BB a… https://t.co/1rWaHUACqt,,,"Recife, Brasil",Gabriel_Beta,gabrgaz_beta,1,Neutro,,,,,,,,,,,,,,,,
98,Thu Jan 05 12:49:15 +0000 2017,#OperacaoBetaLab #TimBeta #Beta #BetaLab #BetaAjudaBeta #BetaSegueBeta UOL: Polêmica com filho de Pimentel: Govern… https://t.co/E1EhSA9Ti3,,,"Recife, Brasil",Gabriel_Beta,gabrgaz_beta,1,Neutro,,,,,,,,,,,,,,,,
