noticia,sentimento
 tempo real vale csn sobem dispara all bancos desabam , neutro
 ações all afundam após geração caixa estagnado trimestre , negativo
 prejuízo trimestre sobe atinge 221 milhões noticias uol economia , negativo
 ações estatais sobem meses influenciadas cenário eleitoral , neutro
 pif paf abandona plano expansão nacional , neutro
 auto esporte financiamento veículos cai 103 junho cetip , negativo
 vale melhor tri história minério ferro monitor mercantil , positivo
 sabesp perde água trata esgoto instituto notícias são paulo , negativo
 petro eletrobras vão subir dilma cair pesquisas gestor infomoney , positivo
 itaú lucro dispara trimestre , positivo
 portal 12aérea news aviation avianca amigo oferece pontos adicionais transferências bradesco bônus novos associados , neutro
 recebe propostas ppp tamoios ecorodovias ccr estão disputa infomoney , positivo
 bovespa leve alta dólar cai real cena externa está foco noticias uol economia , positivo
 portal tarde petrobras devolve primeira área pré sal , negativo
 bovespa fecha queda mais segundo dia seguido notícias mercados , negativo
 tempo real cai rating lixo cielo recua dia embraer sobe infomoney , positivo
 clientes mrv engenharia protestam atraso obra , negativo
 petrobras melhor resultado bacia campos meses , positivo
 caixa lucra mais semestre , positivo
 brookfield sexto prejuízo consecutivo trimestre 2014 mercado folha paulo , neutro
 bovespa fecha queda 027 , negativo
 bovespa fecha alta segundo dia puxada brf petrobras notícias mercados , positivo
 petrobras queda lucro líquido trimestre notícias negócios , negativo
 rene bradesco , neutro
 ações petrobras sobem após resultado impulsionam bolsa , positivo
 renan pede nomes cpi mista petrobras cria cpi mista metrô notícias política , negativo
 altamiro borges até sabesp admite #vaifaltarágua , negativo
 análise ibov petr4 vale5 csan3 goll4 alll3 bbas3 bvmf3 , neutro
 análise ibov petr4 vale5 vlid3 suzb5 tots3 cmig4 krot3 , neutro
 cemig deve concluir compra gasmig próximos dias economia hoje dia , positivo
 ogx amplia testes campo tubarão azul newsletter advfn , positivo
 itaú unibanco mantém projeção desempenho 2014 , positivo
 eletrobras define novos presidentes distribuidoras valor econômico , neutro
 falta água sabesp entregou até lucro acionistas esqueceu rede coletora educação política , negativo
 eletropaulo prejuízo 1835 tri gastos energia 2014 mercado folha paulo , negativo
 sabesp terá reduzir retirada água cantareira , negativo
 recorde produção pré sal atinge anos volume petrobras levou anos atingir , positivo
 alerta variação embraer embr3 , neutro
 juca kfouri afirma não existe plantação cevada granja comary ambev responde portal imprensa , negativo
 controladores vendem 202 milhões ações bovespa junho infomoney , negativo
 cielo mira evolução após volta piscinas curtas , positivo
 brasil petrobras premiada troféu transparência 2014 , positivo
 estatais bancos caem estabilidade dilma jhsf sobe compra fasano , negativo
 bovespa fecha maior nível ano embalada fed opções , positivo
 bovespa confirma abrirá segunda feira horário reduzido , neutro
 fusão coloca presidente time telefonia global 2014 mercado folha paulo , negativo
 ações petrobras passam cair quase após acordo cessão onerosa noticias uol economia , negativo
 universidade ambev ambev , neutro
 mmx fecha tri prejuízo geração caixa negativa economia notícia veja , negativo
 malls vende ativos arrecada quase 200 milhões , neutro
 ibovespa cai cerca após ibope destaque queda petrobras , negativo
 economia fazenda autoriza empréstimo até bilhões eletrobras , positivo
 hora aumentar exposição papéis bolsa veja , positivo
 ossami sakamori blogspot lula dilma quebraram petrobras , negativo
 mpf investigará presidente bovespa caso venda ações ogx economia notícia veja , positivo
 cade aprova aquisição operação seguros riscos itaú ace notícias negócios , positivo
 reclame aqui banco santander negativa informação dívida , negativo
 movimentos mantêm protesto alckmin sabesp , negativo
 faltam linhas crédito pós mba , positivo
 petrobras solução próxima dívidas eletrobras noticias uol economia , neutro
 analistas têm nova queridinha investir semana veja , positivo
 vale ambev mais empresas divulgarão resultados próxima semana infomoney , neutro
 soros sells out morgan bank america citigroup , neutro
 bovespa alta seguida renova máxima desde outubro , positivo
 despenca decisão justiça newsletter advfn , negativo
 acionistas votam hoje fusão all rumo santander petrobras mais radar , neutro
 blog esmael justiça eleitoral proíbe uso máquina eleições manda richa retirar fotos sites copel sanepar , neutro
 cpi petrobras inicia hoje senado mais empresas radar , neutro
 melhor bolsa veja ações mais lembradas analistas semana , positivo
 copel estuda não aplicar reajuste autorizado aneel 2014 mercado folha paulo , negativo
 geração energia nuclear discutida câmara angra , negativo
 petrobras petr teste longa duracao iara , positivo
 bradesco longevidade , neutro
 petrobras rebaixada lixo mico mais empresas agitam , negativo
 seguridade lucra 8454 milhões trimestre , positivo
 resultado medidas sabesp equivale a racionamento brasil notícia veja , negativo
 bienal bahia começa segunda temporada novas exposições , neutro
 faltou água , negativo
 lucro verizon cresce 876 influenciado telefonia móvel , positivo
 fabricante amplia área atendimento nordeste , positivo
 souza cruz cruz distribuicao juros capital retificacao , positivo
 justiça eleitoral proíbe propaganda petrobras brasil notícia veja , negativo
 disputa bilionária família bradesco chega fim economia , positivo
 comprou ação oferta está vendido papel cuidado você pode ser multado , negativo
 déficit geração hídrica podem reduzir ganhos cesp cemig , negativo
 ações bombaram decepcionaram junho , neutro
 bovespa abre alta bom humor externo economia estadão , positivo
 retorno lista negra petrobras vale agitam segunda feira , negativo
 tribunal condena bradesco cobrança indevida tarifas , negativo
 bovespa recua 027 puxada itaú bradesco cai mais economia uol economia , negativo
 fhc fmi cef banco brasil petrobras estão venda bloglimpinhoecheiroso , negativo
 bovespa teve desvalorização sete mundiais terra brasil , negativo
 ibovespa fecha alta 155 após fed , positivo
 bovespa fecha queda puxada ações petrobras bancos notícias mercados , negativo
 mpf recomenda governo implemente racionamento água , negativo
 explosão deixa ferido refinaria petrobras amazonas amazonas , negativo
 explosão refinaria da petrobras no interior são paulo deixa seis feridos são paulo , negativo
 tráfego veículos rodovias ecorodovias sobe 137 semestre noticias uol economia , positivo
 braskem announces 1q14 results , neutro
 jornal brasil economia mpf investiga eike batista informações inadequadas mercado , negativo
 padilha promete anos obras sabesp não fez folha vitória , negativo
 maior libra cessão onerosa petrobras horror mercado tijolaço política polêmica arma elites , negativo
 rio conferences reunirá principais executivos setor petróleo , neutro
 petrobras volta ultrapassar ambev valor mercado exame , positivo
 caso santander faz bancos redobrarem cuidado relatórios terra brasil , negativo
 mais mil funcionários petrobras pedem demissão economia dia , positivo
 tribunal contas julga irregular obra sabesp crise água 2014 cotidiano folha paulo , negativo
 petrobras negocia cemig novo investimento marfrig mais notícias agitam noite , positivo
 queda mais vale pressiona ibovespa cai volta feriado , negativo
 embraer deverá avaliar confiabilidade sistemas produção petrobras 2014 mercado folha paulo , positivo
 properties conclui venda galpões anuncia dividendos noticias uol economia , positivo
 ana volume útil cantareira dura até novembro reserva chegou , negativo
 petrobras defesa delação premiada diretor decisão pessoal jornal globo , positivo
 empresas sonhos jovens brasileiros 2014 , positivo
 petrobras pdg deixa lista suja aquisição mais notícias radar , positivo
 presidente copel alerta reajuste energia autorizado será retroativo bandnews curitiba , neutro
 citi escolhe nova top pick mercado brasileiro saiba , neutro
 ativa troca quase carteira semana veja novas recomendações , neutro
 fusão portugal telecom deve render economias época felipe patury , positivo
 sabesp entope torneiras propaganda dizendo falta dágua planetária viomundo você não mídia , negativo
 qualicorp anuncia nome novo presidente exame , neutro
 dilma anuncia aumento bolsa família defende petrobras política , negativo
 ação caiu 2014 poderia estar pior não ceo , negativo
 honduras discute compra brasil aviões militares , positivo
 até imprensa confirma marina quer acabar pré sal vender petrobras amigos presidente lula , negativo
 bradesco não negocia compra santander brasil jornal globo , neutro
 lucro líquido ajustado anhanguera atingiu 1063 trimestre , positivo
 petrobras registra recorde bacia campos portal brasil , positivo
 ações ibovespa custam menos valor patrimonial veja vale pena comprar infomoney , negativo
 ibovespa registra queda pressionado petrobras , negativo
 moody coloca ratings revisão possível rebaixamento , negativo
 angola pode dar más notícias , negativo
 ambev abre vagas supervisor processo armazém joão pessoa , neutro
 perde grau investimento rebaixa rating , negativo
 cvm vai analisar acordo , negativo
 itaú prevê reversão expansionismo fiscal , neutro
 ibovespa ignora rússia encerra sequência quedas graças vale bancos , negativo
 micos resultados vaca louca ações tiveram forte oscilação , negativo
 ambev montará centro pesquisa desenvolver cervejas rio , positivo
 bradesco fará ajuste contábil perda investimento bes 2014 mercado folha paulo , negativo
 empresas brasileiras mais perderam valor mercado , negativo
 lugar line , neutro
 volátil ibovespa volta cair petrobras vale , negativo
 registra lucro 268 csn gerdau ambev mais divulgam balanços infomoney , positivo
 lucro não auditado anhaguera educacional sobe trimestre , positivo
 lula veste camisa abraça petrobras adversários dilma sofrem desfaçatez rede brasil atual , negativo
 petrobras sobe mais leva bolsa maior nível quase meses economia uol economia , positivo
 tempo real petrobras zera perdas vale gol caem small caps sobem mais , negativo
 ibovespa abre perdas terça feira , negativo
 ambev terá repassar alta imposto preço cerveja notícias dinheiro , positivo
 bovespa opera baixa terça feira notícias mercados , negativo
 abilio diniz compra ações carrefour , neutro
 itaú unibanco ultrapassa petrobras principal índice bolsa 2014 mercado folha paulo , positivo
 google empresa mais desejada jovens brasileiros petrobras economia uol economia , positivo
 júlio cerqueira césar alckmin diretor sabesp são transformistas viomundo você não mídia , negativo
 investidor assusta declarações rui falcão bovespa cai valor econômico , negativo
 blog masutti china compra aviões embraer , positivo
 imobiliárias educacionais lideram perdas ações caem mais , negativo
 ibovespa segue movimento cautela queda petrobras alta vale elétricas , positivo
 blog cleuber carlos fim lula dilma escândalo bilionário petrobras maior mensalão , negativo
 rosa weber determina cpi exclusiva petrobras brasil notícia veja , positivo
 cláusulas omitidas laudo não são centrais diretor petrobras notícias política , negativo
 última instância multada mais millhões violações direitos , negativo
 acionistas santander aprovam aumento capital comprar unidade brasileira , positivo
 não vamos recuperar petrobras mentiras eduardo campos 2014 folha paulo , negativo
 itaú unibanco autuado 187 bilhões receita federal empresas , negativo
 fhc tucanos mais casos dadinha piedade peixoto facebook , neutro
 sessão mais curta ibovespa vira queda petrobras bancos vale sobe , negativo
 ameaça não indicar membros cpi petrobras , neutro
 bolsa milão ftse mib abre baixa 069 , positivo
 ações agitar abertura bovespa segunda feira infomoney , positivo
 vários bancos investigados caso lavagem dinheiro através petrobras justiça jornal negócios , negativo
 bovespa índice ibovespa fecha baixa terça feira maio 2014 , negativo
 embraer fecha acordo japan airlines venda até aviões 2014 mercado folha paulo , positivo
 economia aneel recomenda governo não renovar concessão usina cemig , negativo
 ibovespa fecha queda pressionado ações bancos , negativo
 milhões investidores ameaçam negócio bovespa etiqueta financeira , negativo
 anp multa petrobras 2014 mercado folha paulo , negativo
 banco brasil bbas relatorio analise gerencial reapresentacao , neutro
 aplicar única ação proporcionou melhor ganho aponta levantamento , positivo
 banco brasil bbas material apresentacao , positivo
 ingerência governo eletrobras ajuda causar rombo desde 2012 jornal globo , negativo
 efeito santander faz analistas redobrarem cuidado falar governo relatórios , negativo
 aneel concede efeito suspensivo reajuste copel exame , negativo
 sindicato jornalistas adere ato ataques mídia petrobras política política , neutro
 possível aliança tim gvt dividendos resultados mais notícias radar , positivo
 analistas indicam compra kroton após incorporação , positivo
 retorno lista negra petrobras vale agitam segunda feira , negativo
 lucro cia hering recua tri dificuldades deverão permanecer geral geral estadão , negativo
 eneva anuncia reestruturação dívida aumento capital até bilhão , neutro
 caso aperta geração caixa valor econômico , negativo
 ibovespa abre alta feriado eua , positivo
 acordo pdvsa causou prejuízo petrobras valor econômico , negativo
 ibovespa registra quarta alta consecutiva , positivo
 gabrielli será convidado três comissões falar pasadena , negativo
 editorial companheira petrobras 2014 opinião folha paulo , negativo
 petrobras ministro nega aumento gasolina newsletter advfn , negativo
 petrobras anuncia produção recorde pré salblog jamildo , positivo
 prova seleção diplomata revolta candidatos , negativo
 vilã perdas metade tubulação sabesp centro mais anos saopaulo saopaulo estadão , negativo
 bovespa índice ibovespa abre praticamente estável quinta feira julho 2014 , neutro
 petrobras sobe mais sustenta bolsa azul eleições foco 2014 mercado folha paulo , positivo
 ranking elege empresas sonhos jovens brasileiros , neutro
 petrobras passa adotar marca única países marca últimas notícias mundo marketing , neutro
 além eleições fatores levam alta mais petrobras terça , positivo
 bancários aprovam moção repúdio santander brasil , negativo
 conta luz clientes eletropaulo subirá amanhã bbc brasil msn notícias , positivo
 laudo avaliação brookfield fica abaixo proposta newsletter advfn , neutro
 nova fábrica cimento ficará pronta 2016 , neutro
 bovespa opera alta pregão julho notícias mercados , positivo
 panorama diário julho 2014 órama blog , negativo
 reação mercado dilma defende contratação petrobras 2014 mercado folha paulo , neutro
 terminais ferroviários terão capacidade ampliada , positivo
 petrobras petr esclarecimentos acerca noticia veiculada imprensa , negativo
 preso integrante quadrilha roubou all , negativo
 carteiras diferentes investir bolsa segundo concórdia , positivo
 tabloidebr rede globo ambev distribuem folhetos gritos torcida brasileira , neutro
 julgamento planos econômicos pode ficar após eleição bancos sobem , positivo
 bairros têm falta água sabesp nega racionamento notícias são paulo , positivo
 embraer deve avaliar confiabilidade sistemas petrobras exame , neutro
 ibovespa sobe meio vencimento opções ações , positivo
 marfrig registra prejuízo 964 trimestre 2014 mercado folha paulo , negativo
 vale cai dia seguido minério ferro renova mínima dois anos , negativo
 lucro bradesco sobe ano atinge trimestre negocios setorfinanceiro estadão , positivo
 teletime news rede imprensa registra tráfego dez dias torneio , neutro
 usiminas prevê queda produção veículos brasil tri economia geral estadão , negativo
 bovespa opera baixa volta feriado ultimoinstante , negativo
 aneel mantém decisão eletropaulo deve pagar 626 consumidores 2014 mercado folha paulo , neutro
 ricardo schacker assume direção varejo dell brasil , neutro
 governador afunda copel bolsa veja mais ações deram falar , negativo
 petrobras sobe ibovespa ganhos olho exterior eleições , positivo
 bandidos assaltam agência bradesco município varjota polícia diário nordeste , negativo
 petrobras fatos dados entenda diferencial nova gasolina petrobras grid , positivo
 após assembleia impasse bradesco médicos continua notícias bahia , negativo
 jornal globo petrobras pode recusado oferta vender refinaria eua , negativo
 capgemini novo gerente tributário américa latina , neutro
 previ vende ações meio fusão portugal telecom , neutro
 anp multa petrobras , negativo
 dilma trata empresários prostitutas coordenador econômico programa psb , negativo
 kroton confirma galindo presidência após fusão , positivo
 câmara analisa pedidos ouvir presidente petrobras notícias brasil , neutro
 justiça rio decreta bloqueio bens eike batista economia geral estadão , positivo
 antt autoriza all construir três pátios , positivo
 credibilidade indo ralo sabesp apela emocional spressosp , negativo
 brf brfs esclarecimento noticia , neutro
 análise relatórios contábeis unipar carbocloro 2014 , neutro
 quórum cpis petrobras cancelam sessões 2014 folha paulo , negativo
 ministério público recomenda sabesp iniciar racionamento água valor econômico , negativo
 eletrobras distribuição rondônia nomeia luiz marcelo reis carvalho diretor presidente rondônia pauta , neutro
 651 traz esclarecimento pis cofins venda participações valor econômico , neutro
 trem luxo mineradora vale ligará minas gerais vitória espírito santo , positivo
 tim participará leilão telecom italia , positivo
 kroton liderou alta ibovespa semestre mmx teve maior perda notícias mercados , positivo
 embraer recebe encomenda jatos bilhões economia notícia veja , positivo
 petrobras vale novidade opa brookfield mais empresas radar infomoney , neutro
 denúncias vínculos empreiteiras diretor petrobras época tempo , negativo
 aécio nega intenção privatizar petrobras brasil , positivo
 ibovespa segue movimento cautela aguardando eleições europa feriado eua , negativo
 petrobras barra apuração contratos bilionários tcu terra brasil , negativo
 campaña rousseff rebate terrorismo electoral banco santander rousseff correo del orinoco , neutro
 anp multa petrobras milhões falha medição notícias negócios , negativo
 sabesp faz manutenção preventiva rede água são vicente notícias santos região , neutro
 fazenda autoriza empréstimo até eletrobras caixa noticias uol economia , positivo
 cemig compra projeto parques eólicos renova exame , positivo
 embraer prevê venda mil aviões executivos mundo anos valor econômico , positivo
 sabesp espera chuvas normalizem nível represas yahoo notícias , neutro
 edp avalia compra ativos espanha , neutro
 ação cpi petrobras combinada assessores planalto 2014 folha paulo , negativo
 vento europa sopra favor edp renováveis produção elétrica cresce , positivo
 petrobras descarta risco ativos argentina após medidas eua noticias uol economia , positivo
 renan cria cpmi metrô pede nomes cpmi exclusiva petrobras política , neutro
 presidente petrobras nega costa homem confiança notícias brasil , neutro
 gafisa quer liberar ações tenda , positivo
 auditoria petrobras detectou saque milhões dólares conta pasadena cartacapital , negativo
 folha política ações petrobras caem anos rivais sobem , negativo
 engenheiro copel desmente beto richa aumento absurdo energia governo estado blog tarso , neutro
 cemig faz acordo gás natural fenosa criar empresa gás natural , positivo
 agência risco coloca nota revisão possível rebaixamento 2014 mercado folha paulo , negativo
 folha online brasil fhc defende privatizações não venda petrobras 2006 , positivo
 volume morto cantareira garante abastecimento são paulo até outubro , negativo
 bovespa opera alta após subir mais semana passada notícias mercados , positivo
 sabesp quer mais água volume morto cantareira info , neutro
 cpmi petrobras aprova quebras sigilo youssef diretoramazônia rede , positivo
 corretora recomenda itaú petrobras ações , positivo
 renan recorre plenário stf decisão cpi exclusiva petrobras notícias brasil , negativo
 capítulo novela bes acalma risco fusão diminui ações disparam , positivo
 bradesco negociam explorar negócios programa fidelidade 2014 mercado folha paulo , neutro
 pib brasil crescerá menos apontam previsões idest , negativo
 justiça rio aceita denúncia executivos petrobras economia notícia veja , negativo
 mpf recomenda sabesp inicie racionamento água , negativo
 jornal nacional presidente senado recorre decisão criar cpi petrobras , negativo
 avianca amigo oferece pontos adicionais transferências bradesco bônus novos associados , positivo
 tarifas dão ganho 574 trimestre , positivo
 telefônica vivo abrange total cidades sinal brasil , positivo
 cade aprova venda galpões properties , neutro
 bolsas acentuam perdas pressionam bovespa agência estado uol notícias , negativo
 csn vai alturas mais recompras ações , positivo
 marina colocou anos diretor assaltar petrobras notícias eleições 2014 , negativo
 ministra rosa weber determina cpi exclusiva investigar petrobras jornal globo , positivo
 bovespa opera alta início negócios seguindo bolsas externas notícias mercados , positivo
 propaganda petrobras induz erro diário , negativo
 novidades mercado você precisa saber , negativo
 multa doleira colaborou justiça federal , negativo
 cartas marcadas sabesp cartacapital , negativo
 maiores disparadas bovespa após última crise exame , positivo
 natura desaba gerdau lidera ganhos vale sobe veja mais destaques , negativo
 correção embraer crescimento mercado jatos economia estadão , positivo
 jornal globonews especialista fala problemas prejuízos petrobras globo , negativo
 ações tiraram sono semestre , negativo
 anhanguera informa lucro 994 trimestre exame , positivo
 gestor indica melhor investimento passar cima copa eleições , positivo
 cerveja mexicana superpremium deve chegar brasil segundo semestre , positivo
 arte sustentabilidade unem rio janeiro projeto luxo lixo terra brasil , neutro
 petrobras não casa negócios dirigente investigado notícias política , positivo
 petrobras segunda cpi criada newsletter advfn , negativo
 bradesco ipca abril fez focus reduzir projeção inflação infomoney , positivo
 blog coronel gestão alimentou maior esquema corrupção história brasil petrobras revela revista , negativo
 crescimento lucro itaú deve desacelerar 2015 btg pactual noticias uol economia , negativo
 justiça aceita nova ação diretor petrobras familiares 2014 folha paulo , positivo
 racionamento água síndicos padecem síndrome estocolmo blog cidadania , negativo
 caixas eletrônicos sete bancos serão substituídos banco horas , positivo
 anp produção petróleo avança petrobras cresce brasil , positivo
 análise relatórios contábeis klabin 2014 , neutro
 médias empresas pagam mais impostos 2014 , negativo
 registra lucro 268 csn gerdau ambev mais divulgam balanços infomoney , positivo
 portugal telecom selam acordo fusão , neutro
 caixa econômica prevê superar tri ativos até 2015 , positivo
 presidente cpi vai pedir suspensão distribuição lucros sabesp , negativo
 quina são joão paga quase sete apostas , positivo
 embraer petrobras assinam acordo avaliação sistemas petróleo gás empresas , positivo
 ações fizeram alegria mercado semestre , positivo
 incêndio plataforma petrobras deixa seis feridos 2014 cotidiano folha paulo , negativo
 bovespa opera baixa seguindo bolsas externas notícias mercados , negativo
 vendas lançamentos mrv crescem tri resiliência economia economia estadão , positivo
 missa sétimo dia antônio ermírio reúne parentes amigos , negativo
 corrupto punido corruptores agem anos impunemente , negativo
 petrobras fatos dados pasadena petrobras desmente revista brasil energia , neutro
 petrobras lança gasolina promete diminuir custos manutenção carro noticias uol economia , positivo
 gafisa terá presidente tenda exame , positivo
 proposta sabesp pode deixar nível cantareira negativo são paulo estadão , negativo
 bolsas mundiais seguem alta agenda resultados cielo souza cruz , positivo
 cielo limite ação acumula ganhos 250 anos bolsa , positivo
 ações bradesco cetip ficam dividendos neste pregão veja valores , neutro
 tempo real petrobras volta desabar sobe tim reage rumores venda , positivo
 tempo real china impulsiona vale siderúrgicas desaba kroton avança , positivo
 gráfico sabesp engana mais mil palavras maurício tuffani folha paulo blogs , negativo
 amam embraer companhia fecha acordos pedidos podem chegar , positivo
 documentos revelam petrobras sabia graves problemas pasadena compra jornal globo , negativo
 melhorou mmx preocupa istoé dinheiro , neutro
 eletrobras vai captar bilhões caixa econômica federal valor econômico , positivo
 corretora divulga carteiras ações diferentes perfis confira , neutro
 edp sindicatos subscrevem novo acordo coletivo trabalho , neutro
 bovespa opera alta pregão mês notícias mercados , positivo
 ibovespa recua 046 após quatro sessões avanços , negativo
 bovespa sobe embraer petrobras expectativa eleições valor econômico , positivo
 atendimentos bradesco saúde são suspensos sindimed notícias bahia , negativo
 minério ferro sobe deve puxar vale veja mais ações monitorar hoje , positivo
 copa mundo virou encrenca cielo bovespa exame , negativo
 bradesco itaú passarão processo sucessão , positivo
 diretor petrobras nega existência organização criminosa jornal globo , positivo
 óleo e gás ogx lucra r  213 milhões trimestre economia notícia veja , positivo
 santander telefonica lançam plataforma cursos gratuitos online jornal commercio , neutro
 rota 2014 blog josé tomaz dívidas sistema eletrobras petrobras chegam bilhões linkis , negativo
 petrobras shell ajudam país atingir recorde produção junho 2014 mercado folha paulo , positivo
 graça foster volta apontar falhas compra depor cpi petrobras política , negativo
 petrobras confirma uso computador caso wikipédia , negativo
 telefônica vivo reduz 2153 valor assinatura telefonia fixa , neutro
 kroton azarão chegou topo mundo exame , positivo
 lojas renner dribla efeito negativo copa lucro sobe 209 , positivo
 itaú unibanco alcança 100 participação chilena mcc , positivo
 tropa ameaçam morte xingam provocam querem bater raiz delinquência está dinheiro público governo estatais reinaldo azevedo blog veja , negativo
 além eletrobras estatal dívida bilionária petrobras 2014 mercado folha paulo , negativo
 jornal globo tcu isenta presidente dilma culpa compra refinaria pasadena , neutro
 bovespa dólar operam alta semana pesquisas eleitorais noticias uol economia , positivo
 ibovespa passa realização recua 022 , negativo
 bovespa sobe mais impulsionada estatais economia estadão , positivo
 moradores jardins são menos reduziram consumo água sabesp globonews vídeos jornal globonews catálogo vídeos , neutro
 manchete lucro petrobras caiu lugar nenhum shell caiu chevron tijolaço política polêmica arma elites , negativo
 jornal nacional mais oito mil aderem plano demissões voluntárias petrobras , positivo
 ibovespa abre perdas quarta feira , negativo
 nepotismo põe suspeita contratos petrobras 732 milhões vida pública gazeta povo , negativo
 bovespa lidera ranking investimentos julho alta economia estadão , positivo
 bovespa índice ibovespa abre praticamente estável sexta maio 2014 , neutro
 captação bilionária eletrobras petrobras mais notícias agitam noite infomoney , positivo
 bomba pagou poupar lula ser arrastado escândalo petrobras veja semana ricardo setti veja , negativo
 petrobras está pressão elevar produção , negativo
 embraer aposta atendimento especial donos jatos executivos notícias vale paraíba região , positivo
 ecorodovias triunfo mais dois entregam propostas ppp rodovia tamoios , positivo
 denuncia diretor petrobras mais fraude grnoticias , negativo
 abreu lima mais escândalos petrobras rodrigo constantino veja , negativo
 lucro bradesco sobe 378 bilhões jornal globo , positivo
 btg eleva preço alvo seguridade mantém recomendação compra noticias uol economia , positivo
 ogx lucra 212967 milhões tri destaca recuperação operacional caixa infomoney , positivo
 corretoras recomendam dividendos maio , neutro
 bradespar está caindo vale não , positivo
 properties prevê reajustes linha inflação , neutro
 embraer assina acordo vender jatos china 2014 mercado folha paulo , positivo
 copa 2014 registra tráfego terabyates dados supera copa 2010 , neutro
 revelações arquivo secreto paulo roberto costa época tempo , negativo
 concórdia recomenda nova ação semana saiba , positivo
 bovespa índice ibovespa abre praticamente estável terça feira agosto 2014 , neutro
 cerca mil litros petróleo vazam mar tramandaí , negativo
 pdg tenda entram rol trabalho análogo escravo , negativo
 fatos preocupantes você saber petrobras exame , negativo
 rosa weber determina instalação cpi exclusiva petrobras 2014 folha paulo , positivo
 portal tarde acionistas venderam ações junho relatório , negativo
 lucro grupo pão açúcar sobe mais vezes trimestre , positivo
 gol amplia oferta voos aeroporto viracopos campinas , positivo
 bovespa abre baixa ajustes após feriado ibope exame , negativo
 confirma calote investidor aposta queda , negativo
 lançamentos gafisa sobem trimestre exame , positivo
 ambev abre hoje inscrições trainee diversas áreas maranhão gente , positivo
 portal tarde embraer vende aviões empresas chinesas , positivo
 bmfbovespa bvmf resultado assembleia , neutro
 atrair reter clientes diversificação arma , neutro
 análises bolsa operações 2014 , neutro
 ndice cielo varejo sobe abril , positivo
 recebe caixa eletrônico câmbio moedas estrangeiras , positivo
 petrobras não dominada organização criminosa afirma diretor cpi política , positivo
 solidez recomenda compra ações confira , positivo
 embraer aumenta lucros segundo trimestre reverte perdas noticias uol economia , positivo
 petrobras calcula diretor estatal desviou 300 milhões jornal globo , negativo
 ambev não poderá contratar promotores vendas terceirizados notícias tst , neutro
 petrobras marca governo dilma radar line lauro jardim veja , negativo
 credores aprovam plano recuperação antiga ogx advogado infomoney , positivo
 tcu condena diretores petrobras prejuízo 792 compra pasadena 2014 folha paulo , positivo
 adutora sabesp rompe provoca lentidão avenida interlagos notícias são paulo , negativo
