"tailnum","year","type","manufacturer","model","engines","seats","speed","engine"
"N152UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N153DL",1990,"Fixed wing multi engine","BOEING","767-3P6",2,290,NA,"Turbo-fan"
"N153UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N154DL",1991,"Fixed wing multi engine","BOEING","767-3P6",2,290,NA,"Turbo-fan"
"N154UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N155UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N156DL",1991,"Fixed wing multi engine","BOEING","767-3P6",2,290,NA,"Turbo-fan"
"N156UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N15710",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"N15712",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"N157UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N1602",1999,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N1603",1999,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N1604R",1999,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N1605",1999,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N16065",1999,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N1607B",2000,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N1608",2000,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N1609",2000,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N1610D",2000,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N1611B",2000,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N1612T",2001,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N1613B",2001,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N161PQ",2008,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N161UW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N16217",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N16234",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N162PQ",2008,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N162UW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N163US",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N165US",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N16701",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"N16703",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"N16709",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"N16713",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"N16732",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"N167US",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N169DZ",1998,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N169UW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N170PQ",2008,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N170US",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N171DN",1990,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N171DZ",1998,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N171US",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N17229",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N17233",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N17244",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N17245",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N172DN",1990,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N172DZ",1998,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N172US",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N173DZ",1998,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N173US",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N174DN",1990,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N174DZ",1998,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N174US",NA,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N175DN",1990,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N175DZ",1999,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N176DN",1990,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N176DZ",1999,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N176UW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N17719",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"N17730",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"N177DN",1991,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N177DZ",1999,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N177US",NA,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N178DN",1991,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N178DZ",2000,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N178US",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N179DN",1991,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N179UW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N180US",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N181DN",1992,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N181UW",NA,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N18220",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N18223",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N18243",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N182DN",1992,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N182UW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N183DN",1993,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N183UW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N184DN",1993,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N184US",2002,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N185DN",1995,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N185UW",2002,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N186DN",1995,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N186US",2002,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N187PQ",2008,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N187US",2002,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N188DN",1996,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N188US",2002,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N189DN",1997,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N189UW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N190DN",1997,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N190UW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N191UW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N192DN",1997,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N192UW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N193DN",1997,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N193UW",2008,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N194DN",1997,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N194UW",NA,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N195UW",2008,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N196UW",2009,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N197DN",1997,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N197UW",2009,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N198DN",1998,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N198UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N199DN",1998,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N199UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N200WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N201AA",1959,"Fixed wing single engine","CESSNA","150",1,2,90,"Reciprocating"
"N201FR",2008,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N201LV",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N202AA",1980,"Fixed wing multi engine","CESSNA","421C",2,8,90,"Reciprocating"
"N202FR",2008,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N202WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N203FR",2002,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N203WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N204FR",2004,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N204WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N205FR",2010,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N205WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N206FR",2010,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N206WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N207FR",2010,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N207UW",2001,"Fixed wing multi engine","BOEING","757-28A",2,249,NA,"Turbo-fan"
"N207WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N208FR",2011,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N208WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N209FR",2011,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N209WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N210FR",2011,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N210WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N211FR",2011,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N211WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N212WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N213FR",2011,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N213WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N214FR",2011,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N214WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N215AG",2001,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"N215WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N216AG",2001,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"N216FR",2011,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N216WR",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N21723",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"N217AG",2001,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"N217JC",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N217SW",1993,"Fixed wing multi engine","EMBRAER","EMB-120ER",2,32,NA,"Turbo-prop"
"N218AG",2005,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"N218FR",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N218WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N219AG",2006,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"N219FR",2002,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N219WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N220FR",2013,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N220WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N221FR",2007,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N221SW",1994,"Fixed wing multi engine","EMBRAER","EMB-120ER",2,32,NA,"Turbo-prop"
"N221WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N222WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N223AG",2001,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"N223FR",2006,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N223SW",1995,"Fixed wing multi engine","EMBRAER","EMB-120ER",2,32,NA,"Turbo-prop"
"N223WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N224AG",2001,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"N224SW",1995,"Fixed wing multi engine","EMBRAER","EMB-120ER",2,32,NA,"Turbo-prop"
"N224WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N225AG",2001,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"N225WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N226WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N227AG",2001,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"N227FR",2014,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N227WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N228WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N229SW",1995,"Fixed wing multi engine","EMBRAER","EMB-120ER",2,32,NA,"Turbo-prop"
"N229WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N230WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N231WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N232WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N233LV",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N233SW",1995,"Fixed wing multi engine","EMBRAER","EMB-120ER",2,32,NA,"Turbo-prop"
"N234SW",1996,"Fixed wing multi engine","EMBRAER","EMB-120ER",2,32,NA,"Turbo-prop"
"N234WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N235SW",0,"Fixed wing multi engine","EMBRAER","EMB-120ER",2,32,NA,"Turbo-prop"
"N235WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N236WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N23707",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"N23708",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"N23721",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"N237SW",1996,"Fixed wing multi engine","EMBRAER","EMB-120ER",2,32,NA,"Turbo-prop"
"N237WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N238WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N239WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N240WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N241WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N24202",2000,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N24211",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N24212",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N24224",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N242WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N243WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N244WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N245WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N246LV",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N24702",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"N24706",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"N24715",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"N24729",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"N247WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N248WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N249WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N250WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
